AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
405, ,HISPANIC,MALE,0.0,40.0,4693.15,56317.8
529,R,BLACK,FEMALE,0.0,40.0,5563.75,66765.0
529,D,ASIAN,FEMALE,0.0,40.0,7253.79,87045.48
529, ,WHITE,FEMALE,0.0,40.0,4149.83,49797.96
529,G,HISPANIC,FEMALE,0.0,20.0,3244.5,38934.0
102,A,WHITE,FEMALE,0.0,40.0,9172.8,110073.6
601,R,WHITE,MALE,0.0,40.0,5125.0,61500.0
530,D,WHITE,FEMALE,0.0,40.0,5783.23,69398.76
601,R,WHITE,MALE,0.0,40.0,6174.5,74094.0
530, ,BLACK,FEMALE,0.0,40.0,6000.93,72011.16
696,R,WHITE,FEMALE,0.0,40.0,4778.2,57338.4
320, ,AM INDIAN,MALE,0.0,40.0,5512.5,66150.0
530, ,HISPANIC,FEMALE,0.0,40.0,2869.28,34431.36
802,F,WHITE,MALE,0.0,40.0,7072.87,84874.44
696,N,BLACK,MALE,0.0,40.0,4778.2,57338.4
529,R,BLACK,FEMALE,0.0,40.0,7235.15,86821.8
601,L,BLACK,FEMALE,0.0,40.0,4959.41,59512.92
407,T,WHITE,FEMALE,0.0,40.0,11025.0,132300.0
537,A,WHITE,FEMALE,0.0,40.0,4667.65,56011.8
405,T,WHITE,MALE,0.0,40.0,19349.99,232199.88
696,G,BLACK,MALE,0.0,40.0,4778.2,57338.4
601,R,BLACK,FEMALE,0.0,40.0,5339.25,64071.0
405, ,HISPANIC,MALE,0.0,40.0,9282.8,111393.6
601,L,WHITE,MALE,0.0,40.0,8241.78,98901.36
530,B,BLACK,FEMALE,0.0,40.0,5568.9,66826.8
696,L,BLACK,FEMALE,0.0,40.0,6800.49,81605.88
405,W,WHITE,MALE,0.0,40.0,9411.5,112938.0
529,J,HISPANIC,MALE,0.0,40.0,5094.16,61129.92
304,M,BLACK,MALE,0.0,40.0,8764.01,105168.12
302,M,HISPANIC,FEMALE,0.0,40.0,6457.36,77488.32
529,A,HISPANIC,FEMALE,0.0,40.0,4462.07,53544.84
529,R,BLACK,FEMALE,0.0,40.0,3139.75,37677.0
455,L,WHITE,FEMALE,0.0,40.0,5634.11,67609.32
405,A,WHITE,MALE,0.0,40.0,4500.0,54000.0
101, ,WHITE,MALE,0.0,40.0,5178.75,62145.0
601,P,WHITE,FEMALE,0.0,40.0,7082.33,84987.96
696,M,WHITE,FEMALE,0.0,40.0,9811.58,117738.96
582,H,WHITE,MALE,0.0,40.0,8687.75,104253.0
696,D,BLACK,MALE,0.0,40.0,4170.64,50047.68
529,K,WHITE,FEMALE,0.0,40.0,8304.85,99658.2
529,D,BLACK,FEMALE,0.0,40.0,3325.1,39901.2
304,J,HISPANIC,MALE,0.0,40.0,11423.38,137080.56
302,L,WHITE,FEMALE,0.0,40.0,7092.5,85110.0
529,C,HISPANIC,FEMALE,0.0,40.0,4323.35,51880.2
529,S,HISPANIC,FEMALE,0.0,40.0,4020.33,48243.96
302,D,HISPANIC,FEMALE,0.0,40.0,6568.82,78825.84
320, ,HISPANIC,FEMALE,0.0,40.0,5261.9,63142.8
696,P,HISPANIC,MALE,0.0,40.0,5216.73,62600.76
529,J,WHITE,FEMALE,0.0,40.0,8886.15,106633.8
529,W,WHITE,MALE,0.0,40.0,6779.23,81350.76
808,M,OTHER,FEMALE,0.0,40.0,10257.0,123084.0
696, ,WHITE,MALE,0.0,40.0,5249.98,62999.76
320, ,BLACK,FEMALE,0.0,40.0,5728.53,68742.36
696,A,WHITE,MALE,0.0,40.0,4673.85,56086.2
304,J,WHITE,MALE,0.0,40.0,11507.13,138085.56
529,L,BLACK,FEMALE,0.0,40.0,4149.83,49797.96
302,N,BLACK,FEMALE,0.0,40.0,7719.6,92635.2
696,M,BLACK,MALE,0.0,20.0,2092.4,25108.8
